keys,en,es,he
GLOBAL_EASY_LABEL,Easy,Fácil,קַל
GLOBAL_MEDIUM_LABEL,Medium,Medio,בינוני
GLOBAL_HARD_LABEL,Hard,Duro,קָשֶׁה
GLOBAL_BACK,Back,Atrás,חזור
MENU_TITLE,Power Pong,Power Pong,פאוור פונג
MENU_CONTINUE,Continue,Continuar,לְהַמשִׁיך
MENU_NEW_GAME,New Game,Nueva Juego,משחק חדש
MENU_OPTIONS,Options,Opciones,אפשרויות
MENU_STATS,Stats,Estadísticas,סטטיסטיקות
SETTINGS_LANGUAGE,Language,Idioma,שפה
SETTINGS_DIFFICULTY,Difficulty,Dificultad,קושי
SETTINGS_WINNING_SCORE,Winning Score,Puntuación Ganadora,ניקוד מנצח
SETTINGS_SOUND_EFFECTS_ENABLED,Sound Effects,Efectos de sonido,אפקטים קוליים
SETTINGS_BACKGROUND_MUSIC_ENABLED,Background Music,Música de fondo,מוזיקת ​​רקע
STATS_RESET_STATS,Reset Stats,Restablecer Estadísticas,אפס סטטיסטיקות
STATS_RESET_CONFIRMATION,Are you sure?,¿Estas seguro?,האם אתה בטוח?
STATS_RESET_YES,Yes,Sí,כן
PAUSE_MENU_TITLE,Paused,En pausa,מושהה
PAUSE_MENU_SAVE,Save and Exit,Guardar y Salir,שמור וצא
PAUSE_MENU_CONTINUE,Continue,Continuar,לְהַמשִׁיך
GAME_OVER_TITLE,Game Over!,¡Juego Terminado!,סוף המשחק!
GAME_OVER_WIN,You Win!,¡Tú ganas!,ניצחת!
GAME_OVER_LOSE,You Lose!,¡Tú pierdes!,הפסדת!
GAME_OVER_REMATCH,Rematch,Revancha,משחק חוזר
GAME_OVER_MAIN_MENU,Main Menu,Menú Principal,תפריט ראשי
